Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
cês são padre,3,Papel Social,Papel Social
eles fica puto,7,Emoção,Emoção
senhor juiz,18,Papel Social,Papel Social
senhor é bonzinho,19,Caráter,Caráter
rapaz latino-americano,25,Papel Social,Papel Social
eles são bonitos,26,Aparência,Aparência
eles são famosos,27,Papel Social,Outro
eles são legais,30,Caráter,Caráter
"bento, grande",34,Aparência,Aparência
ele é justo,41,Outro,Caráter
menino bonito,45,Aparência,Aparência
você vai ser fiel,53,Caráter,Caráter
garotos problema,57,Caráter,Caráter
ele é grande,61,Aparência,Aparência
"homem, problema",63,Caráter,Caráter
ele era pagodeiro,66,Papel Social,Papel Social
menino selvagem,74,Caráter,Caráter
menino astuto,75,Caráter,Caráter
"moço, dono",76,Papel Social,Papel Social
moleque louco,87,Caráter,Caráter
menino é caro,105,Outro,Outro
"pobre, preto",106,Papel Social,Aparência
menino rei,109,Caráter,Papel Social
você foi menino,110,Caráter,Aparência
namorado rico,112,Papel Social,Papel Social
moreno misterioso,131,Caráter,Caráter
ryan tá casado,134,Papel Social,Papel Social
menino inocente,139,Caráter,Caráter
pilantra covarde,141,Caráter,Caráter
amigo é cheirosão,143,Aparência,Outro
pobre louco,145,Papel Social,Caráter
gordinho marrento,146,Caráter,Caráter
ele é branco,151,Aparência,Aparência
ele é negro,152,Aparência,Aparência
eles são discretos,153,Caráter,Caráter
rapaz delicado,164,Caráter,Aparência
homens sórdidos,169,Caráter,Caráter
homem barbado,172,Aparência,Aparência
ele é fazendeiro,179,Papel Social,Papel Social
você tá triste,188,Emoção,Emoção
você tá confortável,189,Outro,Emoção
você é bom,192,Caráter,Caráter
você é tão sensual,197,Aparência,Aparência
ele ficou bestificado,204,Outro,Emoção
rapaz trabalhador,208,Papel Social,Papel Social
você parece preocupado,212,Emoção,Emoção
você tá tão vazio,213,Outro,Emoção
você fico louco,214,Emoção,Emoção
você é alto,218,Aparência,Aparência
você estou cansado,219,Outro,Emoção
homem rico,221,Papel Social,Papel Social
ele é fraco,222,Aparência,Aparência
menino desobediente,223,Caráter,Caráter
moleque guerreiro,235,Caráter,Caráter
ele está sedento,242,Outro,Emoção
namorado é mó otário,247,Caráter,Caráter
menino é ruim,251,Caráter,Caráter
ele é pretinho,255,Aparência,Aparência
maloqueiro nato,258,Papel Social,Papel Social
menino é rei,260,Papel Social,Papel Social
ele tá simplicidade,263,Caráter,Aparência
menino pequeno,266,Aparência,Aparência
novinho ficou maluco,268,Emoção,Emoção
ele estava animado,274,Emoção,Emoção
ele é quentinho,275,Outro,Outro
"maloqueiro, irresponsável",276,Papel Social,Caráter
ele é bem fraco,286,Aparência,Aparência
você é perfeito,288,Aparência,Aparência
homem consciente,294,Caráter,Caráter
você tá sempre rico,308,Emoção,Papel Social
nois era pivete,310,Outro,Papel Social
moleque mano,320,Papel Social,Caráter
você é moleque,321,Caráter,Aparência
eles são bandido,322,Papel Social,Papel Social
ele feliz,328,Emoção,Emoção
você é casado,333,Papel Social,Papel Social
flamenguista brasileiro,334,Papel Social,Papel Social
rapaz sério,340,Caráter,Caráter
menino novo,343,Aparência,Aparência
ele é muito maneiro,344,Caráter,Caráter
duzinho assanhado,352,Caráter,Caráter
homem gostoso,354,Aparência,Aparência
ele era doutor,355,Papel Social,Papel Social
ele é profissional,358,Papel Social,Caráter
ele rico,362,Papel Social,Papel Social
ele ficou mais revoltado,371,Emoção,Emoção
homem pobre,374,Papel Social,Papel Social
moço estrangeiro,378,Papel Social,Papel Social
tumba ê caboclo,379,Papel Social,Aparência
você foi fraco,380,Outro,Aparência
homens públicos,388,Papel Social,Papel Social
meninos velhos,390,Aparência,Aparência
homens felizes,392,Emoção,Emoção
homens simples,398,Outro,Caráter
você é capaz,409,Caráter,Caráter
você é feito,410,Outro,Aparência
você é tão ruim,411,Caráter,Caráter
homens perplexos,413,Outro,Emoção
homem forte,414,Caráter,Aparência
menino livre,415,Outro,Caráter
"você, cansado",416,Aparência,Emoção
menino puro,417,Caráter,Caráter
menino cheio de plá,422,Outro,Caráter
vinícius velho,423,Aparência,Aparência
"ele, o menino",426,Papel Social,Aparência
menino pescador,427,Papel Social,Papel Social
moço bonito,431,Aparência,Aparência
você tá apaixonado,432,Emoção,Emoção
ele é dono,434,Papel Social,Papel Social
moço era muito fazendeiro,441,Papel Social,Papel Social
homem infeliz,442,Emoção,Emoção
homem ser feliz,443,Emoção,Emoção
"ele, alegre",451,Emoção,Emoção
rapazes ficam ricos,458,Papel Social,Papel Social
"senhor, seu moço",459,Papel Social,Aparência
"você, crioulo",460,Papel Social,Aparência
pedro é preto,465,Aparência,Aparência
homem capaz,468,Caráter,Caráter
antônio penitente,469,Papel Social,Papel Social
"namorado, meu namorado",471,Papel Social,Papel Social
homem voador,475,Papel Social,Outro
homem comum,477,Caráter,Aparência
senhores idosos,479,Papel Social,Aparência
pobre sonhador,481,Papel Social,Caráter
"homem, meu homem",483,Papel Social,Papel Social
"goiano, pernambucano",484,Papel Social,Papel Social
você foi vulgar,496,Aparência,Emoção
