Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
ela é muito sensual,1,Aparência,Aparência
menina bela,2,Aparência,Aparência
você é diferente,3,Outro,Aparência
ela é linda,4,Aparência,Aparência
ela é guerreira,5,Caráter,Caráter
ela é mulher,6,Papel Social,Aparência
ela é discreta,7,Caráter,Aparência
menina brincalhona,8,Caráter,Caráter
ela é inacreditável,9,Caráter,Caráter
ela é fácil,11,Caráter,Caráter
mulheres vulgares,12,Caráter,Caráter
menina é braba,14,Emoção,Caráter
menina ficou braba,17,Emoção,Emoção
ela é brilhante,22,Caráter,Caráter
ela é rara,23,Caráter,Outro
"mulher, menina",24,Papel Social,Aparência
ela é fria,25,Caráter,Emoção
mina simpática,29,Caráter,Caráter
você era infeliz,35,Emoção,Emoção
ela é marrenta,36,Caráter,Caráter
ela é diferente,37,Caráter,Aparência
ela é inocente,41,Caráter,Caráter
moça bonita,45,Aparência,Aparência
menina veneno,46,Caráter,Caráter
ela é alegria,47,Emoção,Caráter
mulher ruim,51,Caráter,Caráter
mulher é mulher,52,Papel Social,Aparência
ela é incrível,57,Caráter,Caráter
ela é tão tão vistosa,58,Aparência,Aparência
você é tão sensual,61,Aparência,Aparência
"menina, musa",62,Aparência,Aparência
você é baixinha,63,Aparência,Aparência
mina cabulosa,68,Caráter,Caráter
ela está suada,69,Aparência,Aparência
ela é puro êxtase,70,Outro,Aparência
ela é bonita,71,Aparência,Aparência
mulher ingrata,73,Caráter,Caráter
novinha saliente,79,Caráter,Caráter
você foi diferentona,86,Outro,Aparência
ela é bipolar,87,Caráter,Caráter
novinha louca,88,Caráter,Caráter
ela é boa,90,Caráter,Caráter
mina cara,91,Caráter,Outro
mulher foda,92,Caráter,Caráter
ela foi covarde,93,Caráter,Caráter
ela foi amor,95,Emoção,Caráter
novinha ninfeta,101,Caráter,Aparência
novinha é tentação,103,Caráter,Aparência
mina tá cara,104,Outro,Outro
ela fica pelada,105,Outro,Aparência
elas fica apaixonada,108,Emoção,Emoção
ela fica molhada,109,Outro,Aparência
ela é muito gostosa,111,Aparência,Aparência
mina gostosa,116,Aparência,Aparência
você tá arrependida,117,Emoção,Emoção
linda morena,120,Aparência,Aparência
ela é atração,123,Aparência,Aparência
ela é terrível,124,Caráter,Caráter
ela é top,125,Caráter,Aparência
ela é malandra,126,Caráter,Caráter
você tá acostumada,127,Outro,Caráter
você é maldade,128,Caráter,Caráter
"maliciosa, gostosa",131,Aparência,Aparência
mina cavala,138,Aparência,Caráter
você fica louca,140,Emoção,Emoção
mina doidona,144,Caráter,Emoção
mina viciante,146,Outro,Outro
ela ficar chapada,154,Outro,Emoção
ela é gostosa,156,Aparência,Aparência
ela ficou descontrolada,157,Emoção,Emoção
novinha roleta,158,Outro,Caráter
novinha fica louca,160,Emoção,Emoção
mulheres eram amores,165,Caráter,Caráter
menina patricinha,166,Papel Social,Papel Social
ela fica louca,167,Caráter,Emoção
ela é novinha,174,Papel Social,Aparência
mina diferente,175,Outro,Aparência
ela é cruel,182,Caráter,Caráter
você fica maravilhosa,183,Aparência,Aparência
ela era diferente,184,Outro,Aparência
ela é fútil,185,Caráter,Caráter
você é falsa,186,Caráter,Caráter
você é profissional,187,Papel Social,Papel Social
ela é viciada,189,Outro,Caráter
ela é dona,191,Papel Social,Papel Social
ela é insaciável,193,Outro,Caráter
você é tão linda,194,Aparência,Aparência
ela é debochada,195,Caráter,Caráter
menina maluca,199,Caráter,Caráter
ela é ignorante,200,Caráter,Caráter
novinha safadinha,202,Caráter,Caráter
ela é tão bonita,205,Aparência,Aparência
mina perigosa,207,Caráter,Caráter
mina ralé,208,Papel Social,Caráter
ela é empoderada,209,Papel Social,Caráter
ela é muito linda,210,Aparência,Aparência
ela é braba,214,Caráter,Aparência
ela é impossível,215,Caráter,Caráter
ela ignorante,220,Caráter,Caráter
você é famosinha,221,Outro,Papel Social
ela é capaz,224,Caráter,Caráter
você fica nervosa,227,Emoção,Emoção
mina é louca,240,Caráter,Caráter
mulheres lindas,241,Aparência,Aparência
elas fica louca,242,Emoção,Emoção
ela é mais forte,243,Aparência,Aparência
mulher bonita,244,Aparência,Aparência
mina louca,247,Emoção,Caráter
ela é selvagem,248,Caráter,Caráter
mulher tá apaixonada,249,Emoção,Emoção
mulher gato,250,Aparência,Aparência
"linda, sensual",259,Aparência,Aparência
mina é treinada,260,Outro,Caráter
garota bela,261,Aparência,Aparência
ela é donzela,262,Papel Social,Aparência
ela é bagunceira,265,Caráter,Caráter
menina é muito sexy,270,Aparência,Aparência
ela fica soltinha,273,Outro,Emoção
mulher carpideira,275,Papel Social,Papel Social
você é mãe,278,Papel Social,Papel Social
você é linda,280,Aparência,Aparência
você é forte,281,Caráter,Aparência
menina baiana,286,Papel Social,Papel Social
mulher sozinha,288,Outro,Emoção
ela é bela,293,Aparência,Aparência
moça solteirona,297,Papel Social,Papel Social
ela é madura,299,Caráter,Aparência
ela é coroa,300,Papel Social,Aparência
menina nova,301,Aparência,Aparência
moreninha linda,305,Aparência,Aparência
ela era muito caliente,315,Aparência,Caráter
ela é made in roça,317,Papel Social,Papel Social
elas ficam loucas,321,Emoção,Caráter
garota ruim,322,Caráter,Caráter
você está errada,323,Outro,Outro
ela é louca,327,Caráter,Caráter
ela é massa,328,Caráter,Caráter
menina bonita,330,Aparência,Aparência
ela é maravilhosa,331,Aparência,Aparência
você tá cheirosa,332,Aparência,Aparência
menina boçal,337,Caráter,Caráter
linda garota,338,Aparência,Aparência
você é inocente,342,Caráter,Papel Social
novinha bandida,344,Papel Social,Papel Social
você é gostosa,345,Aparência,Aparência
ela é mó gata,347,Aparência,Aparência
ela é experiente,348,Caráter,Caráter
namorada boa,349,Caráter,Caráter
mina meiga,351,Caráter,Caráter
ela é estilosa,352,Aparência,Aparência
ela é covardia,358,Outro,Caráter
mulher guerreira,359,Caráter,Caráter
você tá bolada,366,Emoção,Emoção
linda mina,367,Aparência,Aparência
mina bela,368,Aparência,Aparência
rainha elizabeth,369,Papel Social,Papel Social
ela é mimada,370,Caráter,Caráter
menina má,371,Caráter,Caráter
ela é namoradeira,376,Caráter,Caráter
ela tá diferente,379,Outro,Aparência
menina musa,383,Aparência,Aparência
